
Date,Time,Open,High,Low,Close,Volume
2024-01-01,00:00,2072.50,2073.20,2071.80,2072.90,1250
2024-01-01,00:15,2072.90,2074.10,2072.30,2073.50,1180
2024-01-01,00:30,2073.50,2074.80,2073.00,2074.20,1320
2024-01-01,00:45,2074.20,2075.50,2073.90,2075.10,1400
2024-01-01,01:00,2075.10,2076.30,2074.80,2075.80,1550
2024-01-01,01:15,2075.80,2076.20,2075.20,2075.90,1200
2024-01-01,01:30,2075.90,2077.10,2075.40,2076.50,1680
2024-01-01,01:45,2076.50,2077.80,2076.00,2077.20,1750
2024-01-01,02:00,2077.20,2078.50,2076.90,2078.10,1820
2024-01-01,02:15,2078.10,2079.20,2077.60,2078.80,1900
