Date,Time,Open,High,Low,Close,Volume
2025-02-28,06:15,2863.14,2866.58,2863.1,2865.6,9576
2025-02-28,06:30,2865.56,2865.62,2863.3,2864.09,8641
2025-02-28,06:45,2864.09,2864.9,2863.27,2863.51,6959
2025-02-28,07:00,2863.5,2865.11,2862.57,2862.76,6363
2025-02-28,07:15,2862.74,2863.07,2857.23,2859.07,7715
2025-02-28,07:30,2859.08,2861.28,2858.63,2859.63,7876
2025-02-28,07:45,2859.67,2860.95,2858.18,2858.63,8961
2025-02-28,08:00,2858.61,2860.25,2856.75,2857.12,10457
2025-02-28,08:15,2857.13,2857.25,2853.63,2855.34,8349
2025-02-28,08:30,2855.34,2857.15,2852.11,2852.18,7468
2025-02-28,08:45,2852.17,2857.28,2850.97,2855.9,8482
2025-02-28,09:00,2855.89,2861.15,2855.7,2860.19,8612
2025-02-28,09:15,2860.18,2864.21,2860.17,2862.34,7064
2025-02-28,09:30,2862.35,2863.83,2860.34,2861.01,8791
2025-02-28,09:45,2861.02,2863.2,2859.57,2862.34,5633
2025-02-28,10:00,2862.34,2864.3,2860.9,2862.27,5393
2025-02-28,10:15,2862.27,2862.98,2860.88,2861.26,4486
2025-02-28,10:30,2861.31,2864.02,2860.63,2863.97,4989
2025-02-28,10:45,2863.97,2864.83,2861.98,2862.71,4699
2025-02-28,11:00,2862.7,2863.65,2861.41,2862.65,5147
2025-02-28,11:15,2862.64,2862.87,2859.04,2861.44,5648
2025-02-28,11:30,2861.44,2862.11,2860.4,2861.49,3721
2025-02-28,11:45,2861.5,2862.82,2859.83,2862.12,5551
2025-02-28,12:00,2862.13,2864.9,2861.16,2862.63,8842
2025-02-28,12:15,2862.62,2864.13,2862.28,2862.8,5551
2025-02-28,12:30,2862.79,2862.91,2856.25,2856.29,8932
2025-02-28,12:45,2856.29,2858.04,2854.29,2856.23,7020
2025-02-28,13:00,2856.25,2861.16,2856.24,2861.09,15059
2025-02-28,13:15,2861.1,2862.23,2854.02,2856.89,11716
2025-02-28,13:30,2856.95,2858.53,2852.44,2855.95,17504
2025-02-28,13:45,2855.97,2856.56,2848.25,2848.51,13266
2025-02-28,14:00,2848.53,2849.95,2842.13,2846.36,17727
2025-02-28,14:15,2846.36,2851.67,2845.7,2846.71,13238
2025-02-28,14:30,2846.64,2847.06,2837.62,2838.58,21866
2025-02-28,14:45,2838.57,2840.8,2833.34,2833.78,21331
2025-02-28,15:00,2833.78,2842.46,2832.59,2839.04,23224
2025-02-28,15:15,2839.05,2842.62,2838.27,2842.2,16815
2025-02-28,15:30,2842.21,2845.12,2839.18,2841.66,16976
2025-02-28,15:45,2841.65,2850.64,2840.15,2850.15,16735
2025-02-28,16:00,2850.15,2853.88,2848.8,2851.69,15245
2025-02-28,16:15,2851.7,2851.74,2847.64,2848.39,13308
2025-02-28,16:30,2848.4,2851.64,2847.67,2847.84,11684
2025-02-28,16:45,2847.83,2850.62,2846.23,2848.59,8640
2025-02-28,17:00,2848.58,2851.49,2847.39,2848.35,7517
