feature,importance
EMA_9,0.06009409285818946
Volatility_15,0.05956971973860451
EMA_50,0.055827843330062264
EMA_21,0.05457477374176412
Volatility_5,0.04590709635141045
MACD,0.04541677372016559
MACD_Histogram,0.04530146297130744
Return_15,0.04181657854076545
HL_Ratio,0.04165227335897163
Stoch_D,0.0412814840159092
RSI_21,0.04118585739380265
Hour,0.04069578863250073
RSI_14,0.039641650566527645
ROC_10,0.03868157270059999
BB_Position,0.038463245518305204
Return_1,0.037570727847232734
ROC_5,0.036148759212346726
Return_5,0.036105208176787106
Stoch_K,0.035865943121106914
Volume_Ratio,0.03420617415192211
OC_Ratio,0.03406733116865364
DayOfWeek,0.019820917016759837
IsNYSession,0.008549430640208203
BullishStructure,0.008547746648074384
IsLondonSession,0.006885788229189169
BearishStructure,0.006283868722795258
Equilibrium,0.004901764486120827
Discount,0.004558641431104252
Price_Above_EMA9,0.004238876543737222
Premium,0.003794208717496053
EMA_Cross_21_50,0.0037864132678162112
EMA_Cross_9_21,0.003567844281064502
Price_Above_EMA50,0.003179241121008813
Price_Above_EMA21,0.003087895899527107
BullishFVG,0.0029913805683362987
BearishFVG,0.002769908264232529
LiquiditySweepHigh,0.002568819610342614
LiquiditySweepLow,0.0022976881321454846
BOS_Bullish,0.0019897398480117033
BOS_Bearish,0.0012380289722422567
CHoCH,0.0008674404828518151
NearBullishOB,0.0
NearBearishOB,0.0
BearishOB,0.0
BullishOB,0.0
